Date,High,Low,Open,Volume,Close
2022-04-05 13:00:00,46864.59,46348.41,46772.14,78078373.86,46422.03
2022-04-05 14:00:00,46464.38,45767.89,46422.03,126856990.86,45825.9
2022-04-05 15:00:00,45916.9,45706.66,45825.9,54535856.59,45771.26
2022-04-05 16:00:00,46026.5,45608.55,45771.26,71946714.91,45923.77
2022-04-05 17:00:00,46192.45,45903.58,45923.77,62767972.93,45973.65
2022-04-05 18:00:00,45990.24,45880.19,45973.65,36160199.19,45900.46
2022-04-05 19:00:00,46055.35,45485.05,45900.46,108134781.99,46033.52
2022-04-05 20:00:00,46110.13,45640.56,46033.52,80035414.9,45876.4
2022-04-05 21:00:00,45961.13,45759.21,45876.4,28623726.8,45956.63
2022-04-05 22:00:00,46049.88,45794.21,45956.63,36326141.82,45855.44
2022-04-05 23:00:00,45888.6,45382.83,45855.44,60370674.04,45501.58
2022-04-06 00:00:00,45515.59,44465.22,45501.58,192327497.67,45019.21
2022-04-06 01:00:00,45360.57,44978.79,45019.21,58314093.87,45190.7
2022-04-06 02:00:00,45371.95,45161.8,45190.7,34074499.18,45227.73
2022-04-06 03:00:00,45296.49,45149.55,45227.73,27322748.17,45222.36
2022-04-06 04:00:00,45381.68,45133.6,45222.36,27908142.73,45341.02
2022-04-06 05:00:00,45451.13,45319.5,45341.02,25602918.1,45378.93
2022-04-06 06:00:00,45490.17,45264.8,45378.93,33832810.13,45477.51
2022-04-06 07:00:00,45518.32,45256.5,45477.51,26160473.53,45293.21
2022-04-06 08:00:00,45405.57,45190.87,45293.21,34225749.2,45384.16
2022-04-06 09:00:00,45407.73,45225.37,45384.16,36043849.86,45335.18
2022-04-06 10:00:00,45462.99,45039.75,45335.18,62136975.52,45085.51
2022-04-06 11:00:00,45122.26,44688.32,45085.51,101201840.78,44824.36
2022-04-06 12:00:00,44988.8,44690.77,44824.36,53661983.81,44778.85
2022-04-06 13:00:00,44967.67,44139.62,44778.85,139941773.18,44183.81
2022-04-06 14:00:00,44432.46,43823.55,44183.81,187244589.51,44263.3
2022-04-06 15:00:00,44287.81,43690.46,44263.3,126891904.68,44162.71
2022-04-06 16:00:00,44249.66,43587.96,44162.71,127121698.45,43776.9
2022-04-06 17:00:00,43928.41,43406.12,43776.9,114473111.0,43829.89
2022-04-06 18:00:00,44274.82,43238.77,43829.89,198124966.87,43836.06
2022-04-06 19:00:00,43965.77,43531.76,43836.06,97038030.24,43751.62
2022-04-06 20:00:00,44031.49,43722.65,43751.62,85899405.05,43889.57
2022-04-06 21:00:00,43996.62,43811.81,43889.57,28089810.57,43857.46
2022-04-06 22:00:00,43868.51,43498.97,43857.46,31690306.22,43517.44
2022-04-06 23:00:00,43612.0,43129.76,43517.44,69066577.01,43177.78
2022-04-07 00:00:00,43560.92,42766.45,43177.78,121084242.0,42904.01
2022-04-07 01:00:00,43409.46,42883.91,42904.01,58844340.36,43393.44
2022-04-07 02:00:00,43424.81,43126.95,43393.44,33695250.8,43365.08
2022-04-07 03:00:00,43401.51,43151.71,43365.08,38846485.11,43302.76
